Id,Vendor,DeviceType,SerialNumber,HostName,AssetTag,PartID,FutureLocation,DateReceived,CurrentLocation,Status,BackOrdered,Notes,ProductDescription,Ready,LegacyDevice,Modified,Created,CreatedBy,ModifiedBy,PendingDeletion,DeletionApproved
21,update test ,Laptop,SN021,HOST-021,AT-021,P021,Store B,1/2/2024 0:00,Warehouse A,Received,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,01/01/0001 00:00:00,01/01/0001 00:00:00,John Doe,Admin,FALSE,FALSE
22,Vendor B,Desktop,SN022,HOST-022,AT-022,P022,Store C,1/4/2024 0:00,Warehouse B,Inactive,TRUE,Pending,Basic Desktop,FALSE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
23,Vendor A,Laptop,SN023,HOST-023,AT-023,P023,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
24,Vendor B,Desktop,SN024,HOST-024,AT-024,P024,Store C,1/4/2024 0:00,Warehouse B,Inactive,TRUE,Pending,Basic Desktop,FALSE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
25,Vendor A,Laptop,SN025,HOST-025,AT-025,P025,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
26,Vendor B,Desktop,SN026,HOST-026,AT-026,P026,Store C,1/4/2024 0:00,Warehouse B,Inactive,TRUE,Pending,Basic Desktop,FALSE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
27,Vendor A,Laptop,SN027,HOST-027,AT-027,P027,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
28,Vendor B,Desktop,SN028,HOST-028,AT-028,P028,Store C,1/4/2024 0:00,Warehouse B,Inactive,TRUE,Pending,Basic Desktop,FALSE,TRUE,1/6/2024 0:00,1/3/2024 0:00,Jane Smith,Admin,FALSE,FALSE
29,Vendor A,Laptop,SN029,HOST-029,AT-029,P029,Store B,1/2/2024 0:00,Warehouse A,Active,FALSE,Initial stock,High-end Laptop,TRUE,FALSE,1/5/2024 0:00,1/1/2024 0:00,John Doe,Admin,FALSE,FALSE
30,Vendor B,Laptop,SN030,HOST-029,AT-030,P030,Store D,1/2/2024 0:00,Warehouse A,Active,TRUE,Pending,High-end Laptop,TRUE,TRUE,1/5/2024 0:00,1/1/2024 0:00,John Doe,admin,FALSE,FALSE
30,Vendor B,Laptop,SN030,HOST-029,AT-030,P030,Store D,45293,Warehouse A,Active,TRUE,Pending,High-end Laptop,TRUE,TRUE,45296,45292,John Doe,admin,FALSE,FALSE
